X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	NO	AR	N2	H2O	Therm(1/s)
0	4.7917094	1935.2357	20000	293	0.17182473	0	0.028440238	0	0.22571443	0	0	0.002861619	0	0.74298371	0	-6.67284E-23
0	0.40949707	361.64749	543251.68	1487.2716	0.91946262	0	0.028440238	0	0.22571443	0	0	0.002861619	0	0.74298371	0	-15.468066
7.38463E-19	0.40949707	361.64749	543251.68	1487.2716	0.91946262	5.18506E-23	0.028440238	7.99558E-36	0.22571443	2.95316E-20	1.6978E-21	0.002861619	0	0.74298371	3.45998E-33	-15.468066
2.21539E-18	0.40949707	361.64749	543251.68	1487.2716	0.91946262	1.55552E-22	0.028440238	4.34046E-35	0.22571443	8.85948E-20	5.0934E-21	0.002861619	0	0.74298371	1.87827E-32	-15.468066
5.16924E-18	0.40949707	361.64749	543251.68	1487.2716	0.91946262	3.62955E-22	0.028440238	2.11831E-34	0.22571443	2.06721E-19	1.18846E-20	0.002861619	0	0.74298371	9.1667E-32	-15.468066
1.10769E-17	0.40949707	361.64749	543251.68	1487.2716	0.91946262	7.7776E-22	0.028440238	9.2038E-34	0.22571443	4.42974E-19	2.5467E-20	0.002861619	0	0.74298371	3.98282E-31	-15.468066
2.28923E-17	0.40949707	361.64749	543251.68	1487.2716	0.91946262	1.60737E-21	0.028440238	3.87142E-33	0.22571443	9.15479E-19	5.26318E-20	0.002861619	0	0.74298371	1.6753E-30	-15.468066
4.65232E-17	0.40949707	361.64749	543251.68	1487.2716	0.91946262	3.26659E-21	0.028440238	1.59031E-32	0.22571443	1.86049E-18	1.06961E-19	0.002861619	0	0.74298371	6.88184E-30	-15.468066
9.37848E-17	0.40949707	361.64749	543251.68	1487.2716	0.91946262	6.58503E-21	0.028440238	6.45253E-32	0.22571443	3.75051E-18	2.1562E-19	0.002861619	0	0.74298371	2.79225E-29	-15.468066
1.88308E-16	0.40949707	361.64749	543251.68	1487.2716	0.91946262	1.32219E-20	0.028440238	2.60009E-31	0.22571443	7.53056E-18	4.32939E-19	0.002861619	0	0.74298371	1.12515E-28	-15.468066
