X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	H2O2	AR	H2O	Therm(1/s)
0	4.9112537	1804.2608	20000	295	0.22462848	0	0.021653547	0	0.17179415	0	0	0	0.80655231	0	-1.24E-22
0	0.44014235	404.36154	587362.9	1941.6415	1.0022921	0	0.021653547	0	0.17179415	0	0	0	0.80655231	0	-400.84063
5.81E-20	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.07E-22	0.021653547	1.39E-25	0.17179415	2.88E-20	6.75E-21	3.49E-37	0.80655231	3.87E-34	-400.84063
1.74E-19	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.20E-22	0.021653547	4.16E-25	0.17179415	8.64E-20	2.03E-20	1.90E-36	0.80655231	2.10E-33	-400.84063
4.07E-19	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.45E-21	0.021653547	9.70E-25	0.17179415	2.02E-19	4.73E-20	9.25E-36	0.80655231	1.02E-32	-400.84063
8.72E-19	0.44014235	404.36154	587362.9	1941.6415	1.0022921	3.10E-21	0.021653547	2.08E-24	0.17179415	4.32E-19	1.01E-19	4.02E-35	0.80655231	4.45E-32	-400.84063
1.80E-18	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.40E-21	0.021653547	4.30E-24	0.17179415	8.93E-19	2.09E-19	1.69E-34	0.80655231	1.87E-31	-400.84063
3.66E-18	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.30E-20	0.021653547	8.73E-24	0.17179415	1.81E-18	4.25E-19	6.94E-34	0.80655231	7.69E-31	-400.84063
7.38E-18	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.62E-20	0.021653547	1.76E-23	0.17179415	3.66E-18	8.58E-19	2.82E-33	0.80655231	3.12E-30	-400.84063
1.48E-17	0.44014235	404.36154	587362.9	1941.6415	1.0022921	5.27E-20	0.021653547	3.53E-23	0.17179415	7.34E-18	1.72E-18	1.14E-32	0.80655231	1.26E-29	-400.84063
2.97E-17	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.06E-19	0.021653547	7.08E-23	0.17179415	1.47E-17	3.45E-18	4.56E-32	0.80655231	5.05E-29	-400.84063
5.95E-17	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.11E-19	0.021653547	1.42E-22	0.17179415	2.95E-17	6.91E-18	1.83E-31	0.80655231	2.02E-28	-400.84063
1.19E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.23E-19	0.021653547	2.84E-22	0.17179415	5.90E-17	1.38E-17	7.32E-31	0.80655231	8.10E-28	-400.84063
2.38E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	8.46E-19	0.021653547	5.67E-22	0.17179415	1.18E-16	2.77E-17	2.93E-30	0.80655231	3.24E-27	-400.84063
4.76E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.69E-18	0.021653547	1.14E-21	0.17179415	2.36E-16	5.53E-17	1.17E-29	0.80655231	1.30E-26	-400.84063
9.52E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	3.38E-18	0.021653547	2.27E-21	0.17179415	4.72E-16	1.11E-16	4.69E-29	0.80655231	5.19E-26	-400.84063
1.90E-15	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.77E-18	0.021653547	4.54E-21	0.17179415	9.44E-16	2.21E-16	1.87E-28	0.80655231	2.08E-25	-400.84063
3.81E-15	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.35E-17	0.021653547	9.08E-21	0.17179415	1.89E-15	4.43E-16	7.50E-28	0.80655231	8.31E-25	-400.84063
7.62E-15	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.71E-17	0.021653547	1.82E-20	0.17179415	3.77E-15	8.85E-16	3.00E-27	0.80655231	3.32E-24	-400.84062
1.52E-14	0.44014235	404.36154	587362.9	1941.6415	1.0022921	5.42E-17	0.021653547	3.63E-20	0.17179415	7.55E-15	1.77E-15	1.20E-26	0.80655231	1.33E-23	-400.84062
3.05E-14	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.08E-16	0.021653547	7.27E-20	0.17179415	1.51E-14	3.54E-15	4.80E-26	0.80655231	5.32E-23	-400.84062
6.09E-14	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.17E-16	0.021653547	1.45E-19	0.17179415	3.02E-14	7.08E-15	1.92E-25	0.80655231	2.13E-22	-400.84062
1.22E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.33E-16	0.021653547	2.91E-19	0.17179415	6.04E-14	1.42E-14	7.68E-25	0.80655231	8.51E-22	-400.84062
2.44E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	8.67E-16	0.021653547	5.81E-19	0.17179415	1.21E-13	2.83E-14	3.07E-24	0.80655231	3.40E-21	-400.84061
4.88E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.73E-15	0.021653547	1.16E-18	0.17179415	2.42E-13	5.67E-14	1.23E-23	0.80655231	1.36E-20	-400.84059
9.75E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	3.47E-15	0.021653547	2.33E-18	0.17179415	4.83E-13	1.13E-13	4.91E-23	0.80655231	5.44E-20	-400.84055
1.95E-12	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.93E-15	0.021653547	4.65E-18	0.17179415	9.66E-13	2.27E-13	1.97E-22	0.80655231	2.18E-19	-400.84047
3.90E-12	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.39E-14	0.021653547	9.31E-18	0.17179415	1.93E-12	4.53E-13	7.86E-22	0.80655231	8.71E-19	-400.84031
7.80E-12	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.77E-14	0.021653547	1.87E-17	0.17179415	3.87E-12	9.06E-13	3.15E-21	0.80655231	3.48E-18	-400.83999
1.56E-11	0.44014235	404.36154	587362.9	1941.6415	1.0022921	5.55E-14	0.021653547	3.74E-17	0.17179415	7.73E-12	1.81E-12	1.26E-20	0.80655231	1.39E-17	-400.83936
3.12E-11	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.11E-13	0.021653547	7.54E-17	0.17179415	1.55E-11	3.63E-12	5.03E-20	0.80655231	5.57E-17	-400.8381
6.24E-11	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.22E-13	0.021653547	1.53E-16	0.17179415	3.09E-11	7.25E-12	2.01E-19	0.80655231	2.23E-16	-400.83558
1.25E-10	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.44E-13	0.021653547	3.13E-16	0.17179415	6.18E-11	1.45E-11	8.05E-19	0.80655231	8.92E-16	-400.83054
2.50E-10	0.44014235	404.36154	587362.9	1941.6415	1.0022921	8.88E-13	0.021653547	6.58E-16	0.17179415	1.24E-10	2.90E-11	3.22E-18	0.80655231	3.57E-15	-400.82045
3.74E-10	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.33E-12	0.021653547	1.03E-15	0.17179415	1.86E-10	4.35E-11	7.25E-18	0.80655231	8.03E-15	-400.81036
4.99E-10	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.78E-12	0.021653547	1.44E-15	0.17179415	2.47E-10	5.80E-11	1.29E-17	0.80655231	1.43E-14	-400.80027
6.24E-10	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.22E-12	0.021653547	1.88E-15	0.17179415	3.09E-10	7.25E-11	2.01E-17	0.80655231	2.23E-14	-400.79018
8.74E-10	0.44014235	404.36154	587362.9	1941.6415	1.0022921	3.11E-12	0.021653547	2.86E-15	0.17179415	4.33E-10	1.02E-10	3.95E-17	0.80655231	4.37E-14	-400.77001
1.12E-09	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.00E-12	0.021653547	3.96E-15	0.17179415	5.57E-10	1.31E-10	6.52E-17	0.80655231	7.22E-14	-400.74984
1.37E-09	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.89E-12	0.021653547	5.18E-15	0.17179415	6.80E-10	1.60E-10	9.74E-17	0.80655231	1.08E-13	-400.72966
1.87E-09	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.67E-12	0.021653547	8.01E-15	0.17179415	9.27E-10	2.18E-10	1.81E-16	0.80655231	2.01E-13	-400.68932
