X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	AR	H2O	Therm(1/s)
0	4.9112537	1804.2608	20000	295	0.22462848	0	0.021653547	0	0.17179415	0	0	0.80655231	0	-1.23662E-22
0	0.44014235	404.36154	587362.9	1941.6415	1.0022921	0	0.021653547	0	0.17179415	0	0	0.80655231	0	-400.84063
5.81181E-20	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.06598E-22	0.021653547	1.38573E-25	0.17179415	2.87984E-20	6.75332E-21	0.80655231	3.86796E-34	-400.84063
1.74354E-19	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.19793E-22	0.021653547	4.15718E-25	0.17179415	8.63953E-20	2.026E-20	0.80655231	2.09975E-33	-400.84063
4.06827E-19	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.44618E-21	0.021653547	9.7001E-25	0.17179415	2.01589E-19	4.72733E-20	0.80655231	1.02476E-32	-400.84063
8.71772E-19	0.44014235	404.36154	587362.9	1941.6415	1.0022921	3.09896E-21	0.021653547	2.07859E-24	0.17179415	4.31977E-19	1.013E-19	0.80655231	4.45245E-32	-400.84063
1.80166E-18	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.40452E-21	0.021653547	4.29576E-24	0.17179415	8.92752E-19	2.09353E-19	0.80655231	1.87285E-31	-400.84063
3.66144E-18	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.30156E-20	0.021653547	8.73009E-24	0.17179415	1.8143E-18	4.25459E-19	0.80655231	7.69332E-31	-400.84063
7.381E-18	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.62379E-20	0.021653547	1.75987E-23	0.17179415	3.6574E-18	8.57672E-19	0.80655231	3.12149E-30	-400.84063
1.48201E-17	0.44014235	404.36154	587362.9	1941.6415	1.0022921	5.26824E-20	0.021653547	3.53361E-23	0.17179415	7.3436E-18	1.7221E-18	0.80655231	1.25783E-29	-400.84063
2.96984E-17	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.05571E-19	0.021653547	7.08107E-23	0.17179415	1.4716E-17	3.45095E-18	0.80655231	5.05033E-29	-400.84063
5.94548E-17	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.11349E-19	0.021653547	1.4176E-22	0.17179415	2.94608E-17	6.90865E-18	0.80655231	2.024E-28	-400.84063
1.18968E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.22905E-19	0.021653547	2.83659E-22	0.17179415	5.89504E-17	1.38241E-17	0.80655231	8.10382E-28	-400.84063
2.37994E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	8.46017E-19	0.021653547	5.67456E-22	0.17179415	1.1793E-16	2.76549E-17	0.80655231	3.2431E-27	-400.84063
4.76046E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.69224E-18	0.021653547	1.13505E-21	0.17179415	2.35888E-16	5.53165E-17	0.80655231	1.29756E-26	-400.84063
9.52149E-16	0.44014235	404.36154	587362.9	1941.6415	1.0022921	3.38469E-18	0.021653547	2.27024E-21	0.17179415	4.71805E-16	1.1064E-16	0.80655231	5.19086E-26	-400.84063
1.90436E-15	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.76958E-18	0.021653547	4.54062E-21	0.17179415	9.43638E-16	2.21286E-16	0.80655231	2.07647E-25	-400.84063
3.80877E-15	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.35394E-17	0.021653547	9.08139E-21	0.17179415	1.88731E-15	4.42579E-16	0.80655231	8.30613E-25	-400.84063
7.6176E-15	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.7079E-17	0.021653547	1.81629E-20	0.17179415	3.77464E-15	8.85165E-16	0.80655231	3.3225E-24	-400.84062
1.52353E-14	0.44014235	404.36154	587362.9	1941.6415	1.0022921	5.41581E-17	0.021653547	3.63261E-20	0.17179415	7.54931E-15	1.77034E-15	0.80655231	1.32901E-23	-400.84062
3.04706E-14	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.08316E-16	0.021653547	7.26529E-20	0.17179415	1.50986E-14	3.54068E-15	0.80655231	5.31607E-23	-400.84062
6.09412E-14	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.16633E-16	0.021653547	1.45308E-19	0.17179415	3.01973E-14	7.08137E-15	0.80655231	2.12643E-22	-400.84062
1.21882E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.33266E-16	0.021653547	2.90623E-19	0.17179415	6.03947E-14	1.41627E-14	0.80655231	8.50573E-22	-400.84062
2.43765E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	8.66533E-16	0.021653547	5.81277E-19	0.17179415	1.20789E-13	2.83255E-14	0.80655231	3.40229E-21	-400.84061
4.8753E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.73307E-15	0.021653547	1.16267E-18	0.17179415	2.41579E-13	5.6651E-14	0.80655231	1.36092E-20	-400.84059
9.7506E-13	0.44014235	404.36154	587362.9	1941.6415	1.0022921	3.46613E-15	0.021653547	2.32583E-18	0.17179415	4.83157E-13	1.13302E-13	0.80655231	5.44367E-20	-400.84055
1.95012E-12	0.44014235	404.36154	587362.9	1941.6415	1.0022921	6.93228E-15	0.021653547	4.65358E-18	0.17179415	9.66315E-13	2.26604E-13	0.80655231	2.17747E-19	-400.84047
3.90024E-12	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.38646E-14	0.021653547	9.31486E-18	0.17179415	1.93263E-12	4.53208E-13	0.80655231	8.70987E-19	-400.84031
7.80048E-12	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.77292E-14	0.021653547	1.86605E-17	0.17179415	3.86526E-12	9.06416E-13	0.80655231	3.48395E-18	-400.83999
1.5601E-11	0.44014235	404.36154	587362.9	1941.6415	1.0022921	5.54589E-14	0.021653547	3.74442E-17	0.17179415	7.73051E-12	1.81283E-12	0.80655231	1.39358E-17	-400.83936
3.12019E-11	0.44014235	404.36154	587362.9	1941.6415	1.0022921	1.10919E-13	0.021653547	7.53811E-17	0.17179415	1.5461E-11	3.62566E-12	0.80655231	5.57431E-17	-400.8381
6.24039E-11	0.44014235	404.36154	587362.9	1941.6415	1.0022921	2.21845E-13	0.021653547	1.52733E-16	0.17179415	3.09219E-11	7.25133E-12	0.80655231	2.22972E-16	-400.83558
1.24808E-10	0.44014235	404.36154	587362.9	1941.6415	1.0022921	4.43714E-13	0.021653547	3.1335E-16	0.17179415	6.18433E-11	1.45027E-11	0.80655231	8.91882E-16	-400.83054
